book,verses_syn,copy,ms8,base,verses_nllb,nllb,run,target,score_src,delta,verdict
EZK,1268,15.11,19.1,15.43,1268,35.4,ethiopic_drafting_gof,gofe,store,-16.3,lose
EZR,271,12.3,16.94,14.76,271,29.53,ethiopic_drafting_gof,gofe,store,-12.59,lose
GEN,1510,14.94,22.93,18.83,1510,44.89,ethiopic_drafting_gof,gofe,store,-21.96,lose
HAB,56,11.8,13.68,12.14,56,24.55,ethiopic_drafting_gof,gofe,store,-10.87,lose
HAG,38,14.98,20.16,16.94,38,35.9,ethiopic_drafting_gof,gofe,store,-15.74,lose
HOS,197,13.82,19.09,16.27,197,33.44,ethiopic_drafting_gof,gofe,store,-14.35,lose
ISA,1291,15.4,17.98,14.88,1291,34.77,ethiopic_drafting_gof,gofe,store,-16.79,lose
JAS,107,11.56,44.1,26.62,104,34.55,ethiopic_drafting_gof,gofe,store,9.55,beat
JDG,617,14.23,21.65,16.67,617,42.97,ethiopic_drafting_gof,gofe,store,-21.32,lose
JER,1363,14.66,19.35,15.57,1363,36.91,ethiopic_drafting_gof,gofe,store,-17.56,lose
JOB,1066,12.86,16.86,14.65,1066,29.89,ethiopic_drafting_gof,gofe,store,-13.03,lose
JOL,72,13.17,18.37,17.83,72,30.27,ethiopic_drafting_gof,gofe,store,-11.9,lose
JON,48,15.11,23.05,17.78,48,42.2,ethiopic_drafting_gof,gofe,store,-19.15,lose
JOS,656,13.55,19.52,15.51,656,35.7,ethiopic_drafting_gof,gofe,store,-16.18,lose
LAM,154,12.41,17.44,14.87,154,31.07,ethiopic_drafting_gof,gofe,store,-13.63,lose
LEV,854,13.34,17.2,15.39,854,28.98,ethiopic_drafting_gof,gofe,store,-11.78,lose
MAL,55,14.55,18.49,17.04,55,34.65,ethiopic_drafting_gof,gofe,store,-16.16,lose
MIC,105,11.42,16.01,13.83,105,26.09,ethiopic_drafting_gof,gofe,store,-10.08,lose
MRK,673,10.6,54.61,40.07,669,39.98,ethiopic_drafting_gof,gofe,store,14.63,beat
NAM,47,11.84,14.29,12.02,47,26.3,ethiopic_drafting_gof,gofe,store,-12.01,lose
NEH,399,12.17,16.06,13.12,399,28.6,ethiopic_drafting_gof,gofe,store,-12.54,lose
NUM,1207,12.97,18.79,15.29,1207,31.59,ethiopic_drafting_gof,gofe,store,-12.8,lose
